"","Nacional","Ñuble","fecha"
"1",0.198103405766265,0.320237423496171,2010-02-01
"2",0.198728868250885,0.330240682402055,2010-03-01
"3",0.194630358201385,0.333315638951522,2010-04-01
"4",0.191621614111784,0.273733068006383,2010-05-01
"5",0.186157536504017,0.263034230981062,2010-06-01
"6",0.185927198343381,0.265256918884727,2010-07-01
"7",0.187855637817014,0.264306307062522,2010-08-01
"8",0.189406329236875,0.250678378693868,2010-09-01
"9",0.192426747092739,0.244201878160865,2010-10-01
"10",0.189028442207295,0.271553182056775,2010-11-01
"11",0.187854901763126,0.292472181436642,2010-12-01
"12",0.189095652538429,0.295531020811939,2011-01-01
"13",0.187764206997666,0.291566489065204,2011-02-01
"14",0.183433619556028,0.284685378208414,2011-03-01
"15",0.178741630782093,0.290279163502265,2011-04-01
"16",0.178061912428944,0.26540765887189,2011-05-01
"17",0.17687183270115,0.262179090412597,2011-06-01
"18",0.173799301821169,0.242253155701524,2011-07-01
"19",0.174857340397407,0.231096507464191,2011-08-01
"20",0.177465374603155,0.209059505038043,2011-09-01
"21",0.176263654633644,0.214654073945878,2011-10-01
"22",0.178431490999205,0.232752493163269,2011-11-01
"23",0.180558142885112,0.261207751357928,2011-12-01
"24",0.177937870620375,0.272009733924937,2012-01-01
"25",0.17030329066658,0.265331728810338,2012-02-01
"26",0.164386270720827,0.253011597114808,2012-03-01
"27",0.16392311859098,0.234653676699015,2012-04-01
"28",0.164107169952777,0.228110334990496,2012-05-01
"29",0.164689534142072,0.223732921698303,2012-06-01
"30",0.161635270319635,0.242295955159029,2012-07-01
"31",0.159470106971996,0.236281455712966,2012-08-01
"32",0.157392088808768,0.2459802070347,2012-09-01
"33",0.160862048614344,0.252194475990768,2012-10-01
"34",0.163261704465236,0.251775884477016,2012-11-01
"35",0.163100980707965,0.232479621885274,2012-12-01
"36",0.161845175836178,0.230446455852474,2013-01-01
"37",0.159761079518801,0.230699573366443,2013-02-01
"38",0.158336961650255,0.258790590898169,2013-03-01
"39",0.158477979335201,0.24724974523986,2013-04-01
"40",0.154123253310979,0.255972251146444,2013-05-01
"41",0.148640177994495,0.253464103203981,2013-06-01
"42",0.143063080362924,0.240188859266819,2013-07-01
"43",0.140137179019405,0.221206287128073,2013-08-01
"44",0.142012075348555,0.189304722150385,2013-09-01
"45",0.142935882193556,0.198938590320023,2013-10-01
"46",0.15187267403122,0.221210088439628,2013-11-01
"47",0.155299664859086,0.267739178265533,2013-12-01
"48",0.157250996630528,0.276873121080098,2014-01-01
"49",0.157064662653166,0.275754863501355,2014-02-01
"50",0.156643507494315,0.257357708208842,2014-03-01
"51",0.15848898115151,0.240744693384379,2014-04-01
"52",0.155947505320131,0.235088256689095,2014-05-01
"53",0.15012785640692,0.213071162339518,2014-06-01
"54",0.147348266092801,0.225942501100855,2014-07-01
"55",0.146452393560561,0.232958154398032,2014-08-01
"56",0.148073006833848,0.238798330348488,2014-09-01
"57",0.149398427949429,0.257124742649737,2014-10-01
"58",0.154414332207567,0.268435796104518,2014-11-01
"59",0.157409578086909,0.268676270048833,2014-12-01
"60",0.161307086402764,0.255929548537968,2015-01-01
"61",0.159837732220339,0.278886010097737,2015-02-01
"62",0.16027225851592,0.257723509977775,2015-03-01
"63",0.158831293178842,0.241239208440459,2015-04-01
"64",0.154568500849593,0.216922280705233,2015-05-01
"65",0.150559520200125,0.208829379587051,2015-06-01
"66",0.148112817097902,0.200125628377279,2015-07-01
"67",0.147325614022768,0.181295118812894,2015-08-01
"68",0.147112604935071,0.1865694011911,2015-09-01
"69",0.146494324365066,0.174361380070804,2015-10-01
"70",0.151004319007699,0.181882391115925,2015-11-01
"71",0.151963536868908,0.222197356936166,2015-12-01
"72",0.153477488776044,0.239409792965334,2016-01-01
"73",0.150226570454967,0.241527333267173,2016-02-01
"74",0.150025119551076,0.215493405305258,2016-03-01
"75",0.147724848400911,0.210920653253806,2016-04-01
"76",0.148220932272677,0.203072163481322,2016-05-01
"77",0.151222873848915,0.212423674971782,2016-06-01
"78",0.149537977256525,0.215942421476364,2016-07-01
"79",0.147893490817211,0.223690320025214,2016-08-01
"80",0.147795485532222,0.208108395996926,2016-09-01
"81",0.147831110765675,0.222587815402907,2016-10-01
"82",0.152730565503617,0.215519548646447,2016-11-01
"83",0.15135988410686,0.250118740374141,2016-12-01
"84",0.150862413339604,0.235488284573278,2017-01-01
"85",0.14582964374237,0.23656306236175,2017-02-01
"86",0.143932094575833,0.246819926818794,2017-03-01
