"","sexo","tasa_sexo","std_error_sexo","cv","frecuencia"
"1",1,0.736132914219236,0.036208213599829,3.13077543329264,337
"2",2,0.376379482592486,0.029712537001177,3.57793776060405,218
"3",1,0.728104895855714,0.0260634400963375,2.48754773270298,438
"4",2,0.416891714250676,0.0179423527819631,4.36141571465904,322
"5",1,0.756062957954682,0.0247084840534556,2.72522668439137,454
"6",2,0.430746211403379,0.0212453216641591,4.43173372319111,318
"7",1,0.76704685759005,0.0244560224052409,2.40474835420669,454
"8",2,0.429740362619004,0.0241936919905276,3.92413126272807,321
"9",1,0.766253751961079,0.0251848743510689,2.21126231746003,447
"10",2,0.406996386116117,0.0278588407429758,3.86229257713588,311
"11",1,0.780925166295873,0.0213926396303882,1.96354956351256,467
"12",2,0.416666543320826,0.0287992734331027,4.29202861716373,329
"13",1,0.783044236940007,0.0213703080491184,1.82648315137448,465
"14",2,0.447447300688852,0.0271920537908199,3.28280541919107,346
"15",1,0.784393180403351,0.0203750394258379,1.88536094248456,471
"16",2,0.447419231372974,0.0289683370453801,3.34812624734341,351
"17",1,0.775888652826553,0.0233047274341405,1.9713754626418,471
"18",2,0.446754492054961,0.0277566085495761,3.60559917975119,352
"19",1,0.777491700563022,0.0222570698787376,2.14823378734896,465
"20",2,0.416217191040278,0.0258646331640593,4.35246021317665,336
"21",1,0.775239059094553,0.0231070902687674,2.4235916130234,459
"22",2,0.434028723293045,0.0221415752549256,4.24785865964334,338
"23",1,0.71665413176683,0.0367239033704819,2.69998717414204,325
"24",2,0.346479493224127,0.0274667692480481,4.92127172351984,206
"25",1,0.783896702447091,0.0204295617110984,2.06519733764939,460
"26",2,0.441455921312261,0.0250556626286626,3.48614492587646,344
"27",1,0.778762891290167,0.0205171031128461,1.99528923620137,465
"28",2,0.450326128809276,0.0244417608761904,3.62235900396691,347
"29",1,0.776777116878248,0.0221424128607422,2.08356881861726,461
"30",2,0.430034740395723,0.0252427035497662,3.78531038932766,334
"31",1,0.786610399386769,0.0204015672589323,2.09115239547345,469
"32",2,0.433082970188809,0.0259320314287472,3.33385489234241,334
"33",1,0.782610416452808,0.020437417544521,1.76346556015924,469
"34",2,0.432548290120714,0.0263852134242558,3.67896791289328,331
"35",1,0.799698719052965,0.0177666065289051,1.75073199437825,471
"36",2,0.458887820120129,0.0284438309561331,3.111712667399,350
"37",1,0.810359798565365,0.0209198439843467,1.77033484657808,480
