"","Nacional","Ñuble","fecha"
"1",0.0716401162225504,0.109482500518847,2010-02-01
"2",0.0748599047025683,0.0933219014654302,2010-03-01
"3",0.0755278027017915,0.0632830398766913,2010-04-01
"4",0.0770914861791522,0.0524774360674506,2010-05-01
"5",0.0804251065627737,0.0572992114634345,2010-06-01
"6",0.086510867938734,0.0793144618329028,2010-07-01
"7",0.0854715698077691,0.0870823605134568,2010-08-01
"8",0.0842738509774103,0.0776352529624429,2010-09-01
"9",0.0801107178228261,0.0745151593135552,2010-10-01
"10",0.0810401217145835,0.072773544927762,2010-11-01
"11",0.0758186498778149,0.0816293965511225,2010-12-01
"12",0.0709706224566857,0.0781960865377121,2011-01-01
"13",0.0718924844231278,0.087110477078431,2011-02-01
"14",0.0771792248889741,0.106586558943791,2011-03-01
"15",0.0835924346071297,0.111972146221351,2011-04-01
"16",0.0873500878441369,0.123052700516669,2011-05-01
"17",0.0875610777276746,0.130655590725782,2011-06-01
"18",0.089279775636143,0.142381063219337,2011-07-01
"19",0.08707116572385,0.132905795339424,2011-08-01
"20",0.0877422212178058,0.121725709223174,2011-09-01
"21",0.0832613595217912,0.105477011523019,2011-10-01
"22",0.0764109480539836,0.102815571292765,2011-11-01
"23",0.0710103665873471,0.0957650970755288,2011-12-01
"24",0.0676073413170737,0.114315441235674,2012-01-01
"25",0.0705316629490813,0.133975272192013,2012-02-01
"26",0.0729456524347252,0.133091486204535,2012-03-01
"27",0.076084988597432,0.116975954017473,2012-04-01
"28",0.0790263323256323,0.109023402952132,2012-05-01
"29",0.0786545251183435,0.113456114216262,2012-06-01
"30",0.0805563242003741,0.115769185317027,2012-07-01
"31",0.0786145015015851,0.10900790178824,2012-08-01
"32",0.0809560079363013,0.1039272248962,2012-09-01
"33",0.0805041497751213,0.113812121919815,2012-10-01
"34",0.0757098989168329,0.108939642278173,2012-11-01
"35",0.0703450155547943,0.115953883458574,2012-12-01
"36",0.0644097540438412,0.106110054819431,2013-01-01
"37",0.0659502937355459,0.111141987200816,2013-02-01
"38",0.068391264720882,0.11715049976579,2013-03-01
"39",0.0720780094006973,0.124711648746305,2013-04-01
"40",0.0746493832971175,0.115833867135961,2013-05-01
"41",0.0768153129264065,0.13322758369363,2013-06-01
"42",0.0789576765464369,0.141485436804793,2013-07-01
"43",0.0779856553330287,0.166089242989138,2013-08-01
"44",0.0767182258779124,0.134742080121632,2013-09-01
"45",0.0746053212389339,0.132136107412867,2013-10-01
"46",0.0755176798004299,0.114593319707631,2013-11-01
"47",0.0757806155059281,0.116146863993821,2013-12-01
"48",0.0733219938177046,0.0982439483980382,2014-01-01
"49",0.0708512193764593,0.101689349839231,2014-02-01
"50",0.0720277423177521,0.116763445098968,2014-03-01
"51",0.0778689582960441,0.128077446947378,2014-04-01
"52",0.0809420946682183,0.127451659285543,2014-05-01
"53",0.0788257894077904,0.125323337120079,2014-06-01
"54",0.0767650068769601,0.126406505586519,2014-07-01
"55",0.0778461440523871,0.126083747118186,2014-08-01
"56",0.078631566530172,0.138186501614373,2014-09-01
"57",0.07667136375235,0.142208287501064,2014-10-01
"58",0.0713889889273096,0.127570128401075,2014-11-01
"59",0.0663176421401256,0.105355797814388,2014-12-01
"60",0.0633739042255567,0.0949795077094678,2015-01-01
"61",0.0651422069522231,0.102659801235189,2015-02-01
"62",0.0659163607681933,0.122084604233807,2015-03-01
"63",0.0707198228502112,0.134984546405154,2015-04-01
"64",0.0711809734134886,0.131424815985474,2015-05-01
"65",0.0754662161858462,0.131629988951491,2015-06-01
"66",0.0779715734226082,0.13469091746774,2015-07-01
"67",0.07992108510879,0.149501765011907,2015-08-01
"68",0.0769391605623187,0.134749457029907,2015-09-01
"69",0.0736963009542606,0.124582088317901,2015-10-01
"70",0.0688466603800932,0.117912090613505,2015-11-01
"71",0.0685638423375055,0.101036824536912,2015-12-01
"72",0.0653582316185395,0.0979835083215034,2016-01-01
"73",0.0658827057597544,0.0904710197194273,2016-02-01
"74",0.0671997950214849,0.100644687504423,2016-03-01
"75",0.0729140176703025,0.105069129947469,2016-04-01
"76",0.0771948640708723,0.114601094892679,2016-05-01
"77",0.0791601512391508,0.125922370635765,2016-06-01
"78",0.0805165591602075,0.134436141347205,2016-07-01
"79",0.0811818725916413,0.122886518060132,2016-08-01
"80",0.0808202623996871,0.11317227313657,2016-09-01
"81",0.0790177542647069,0.102581341081214,2016-10-01
"82",0.0750615842592677,0.100431315880744,2016-11-01
"83",0.0710313268343168,0.101177169078434,2016-12-01
"84",0.0683694010215512,0.0989539421089722,2017-01-01
"85",0.0701870680296585,0.0911975590416494,2017-02-01
"86",0.0751147570868675,0.105067500839736,2017-03-01
