,desocupados.nuble,fuerza.trabajo.nuble,ocupados.nuble,ocup_cuenta_propia_nacional,ocup_cuenta_propia_nuble,tasa.desempleo.nuble,tasa.ocupados.nuble,tasa.participacion.nuble,tasa.promedio.subempleo.nacional,tasa.promedio.subempleo.nuble,t_ocup_cuenta_prop_nacional,t_ocup_cuenta_prop_nuble,quarter,year
1,,,,,,,,,,,,,,
2,16555.30251415,190751.27701253,174195.97449838,1329207.55948829,32031.48735134,0.0867899957129122,0.483854858237929,0.529839638162591,0.0716401162225504,0.109482500518847,0.191928066482904,0.185988801077547,ene-mar,
3,19082.34511093,179875.82666401,160793.48155308,1357181.52361509,27252.56382307,0.10608621216554,0.446208548661896,0.499162844039864,0.0748599047025683,0.0933219014654302,0.194775397217547,0.174804691798609,,
4,22061.48982839,180270.03010377,158208.54027538,1374262.2542285,25207.7617316,0.12238024155036,0.438629896961886,0.499794919996728,0.0755278027017915,0.0632830398766913,0.197117536217101,0.163195059574534,,
5,20367.5724458,187424.52867632,167056.95623052,1414175.86810841,33496.02965395,0.108670794530712,0.462741142303832,0.519158510081802,0.0770914861791522,0.0524774360674506,0.201143212396511,0.202835270221162,abr-jun,
6,16350.39259122,187282.57205865,170932.17946743,1439679.49899394,36889.55162207,0.0873033321333266,0.473048191097487,0.518297269785355,0.0804251065627737,0.0572992114634345,0.203048155117382,0.216905369933999,,2010
7,15807.73135534,191776.42645339,175968.69509805,1485081.93793362,41137.50717646,0.0824279169639339,0.486492443091346,0.530195340601077,0.086510867938734,0.0793144618329028,0.208360666509868,0.228886917262181,,
8,16488.19468815,191139.80989488,174651.61520673,1530742.78027139,42472.09062006,0.0862624834523897,0.482356427327975,0.527893862944876,0.0854715698077691,0.0870823605134568,0.2122418551962,0.242671042336861,jul-sep,
9,16116.88420327,188761.33651431,172644.45231104,1532464.97341468,42707.55076596,0.0853823378287437,0.47632625827316,0.520792761799925,0.0842738509774103,0.0776352529624429,0.211643285200629,0.2497139740595,,
10,13644.71349476,187474.61267668,173829.89918192,1530629.64218471,42585.07452591,0.0727816598735519,0.479105178797921,0.516712362195709,0.0801107178228261,0.0745151593135552,0.20935343349433,0.253152269554269,,
11,12191.27346253,191126.54495076,178935.27148823,1526235.40334238,45254.10801981,0.0637863958963463,0.492684896604225,0.52625265692003,0.0810401217145835,0.072773544927762,0.207542826105678,0.255817289996865,oct-dic,
12,12809.77299709,198984.63491209,186174.861915,1494932.91994845,43590.46941343,0.0643756891216715,0.512091225924465,0.547325694694416,0.0758186498778149,0.0816293965511225,0.201967020759726,0.238827901835425,,
13,14092.33329148,205256.65132536,191164.31803388,1465215.02841721,46115.80678416,0.0686571334009621,0.525280599552777,0.564003460370004,0.0709706224566857,0.0781960865377121,0.197893107067157,0.244306470942769,,
14,16354.43347957,200778.42641403,184423.99293446,1453905.8250137,43884.00042801,0.0814551332614049,0.506243478392045,0.551136364399404,0.0718924844231278,0.087110477078431,0.196143030793671,0.239837651212907,ene-mar,
15,15137.15154959,201830.04764903,186692.89609944,1513666.43249377,48841.99365174,0.0749994945049638,0.511947437970598,0.553456387244478,0.0771792248889741,0.106586558943791,0.20338409570897,0.262002818084164,,
16,16389.45519031,204963.25442605,188573.79923574,1551893.57978403,46361.50747277,0.079962894989176,0.516586764216154,0.561484706869595,0.0835924346071297,0.111972146221351,0.208473877059214,0.247704248449494,,
17,19989.94201943,207708.99450419,187719.05248476,1594901.48487518,48132.81582742,0.0962401366736516,0.513727340232217,0.568433453485542,0.0873500878441369,0.123052700516669,0.213140797506919,0.259427029780785,abr-jun,
18,22462.70833454,207994.41991737,185531.71158283,1574552.99672371,47430.52759764,0.10799668733163,0.507227679188452,0.568638784166746,0.0875610777276746,0.130655590725782,0.211478057077227,0.257181176543953,,2011
19,22472.9297201,202597.14207608,180124.21235598,1581727.92031172,48630.84269638,0.110924218820722,0.491932980358246,0.5533082677224,0.089279775636143,0.142381063219337,0.211726156761036,0.27163198946599,,
20,19010.89556999,204533.28737427,185522.39180428,1582886.26842924,50318.30713977,0.0929476850152145,0.506136724460015,0.558001689757558,0.08707116572385,0.132905795339424,0.211368734463454,0.266539894015903,jul-sep,
21,18288.07905978,205317.17594785,187029.09688807,1564551.31949378,48859.11295876,0.0890723290701462,0.509711899207843,0.559552547885104,0.0877422212178058,0.121725709223174,0.208724420848681,0.260699544018651,,
22,18872.15968361,206898.19663529,188026.03695168,1540263.04421745,46150.3896719,0.0912147132769693,0.511900130548577,0.563279509502653,0.0832613595217912,0.105477011523019,0.20522237123758,0.246339223067356,,
23,18545.98951772,205196.61537453,186650.62585681,1485875.63431722,36651.86338624,0.0903815566541846,0.507623508224664,0.558062022530559,0.0764109480539836,0.102815571292765,0.196431437224075,0.203707881303578,oct-dic,
24,15840.84637196,211201.37287855,195360.52650659,1454118.54872198,35703.49357521,0.0750035198922176,0.5307527303883,0.573788918987514,0.0710103665873471,0.0957650970755288,0.191598403849423,0.187687439452149,,
25,14930.43788314,213940.44980234,199010.0119192,1453499.19495031,38290.15980748,0.0697878213163255,0.540105605469792,0.580626246190504,0.0676073413170737,0.114315441235674,0.190313520948107,0.196463383999924,,
