"","sexo","tasa_sexo","std_error_sexo","cv","frecuencia"
"1",1,0.570557329282038,0.0489220623777674,4.03932562986402,99
"2",2,0.394565560305506,0.03697457223293,3.41302561237624,77
"3",1,0.473094270343821,0.0374227557345956,3.8284033360614,106
"4",2,0.376811364012134,0.0352995770636007,4.82532706679594,96
"5",1,0.506104549321853,0.0453336551556825,4.07118045245559,114
"6",2,0.387121602544277,0.0332172252591838,4.93114437083067,100
"7",1,0.551512469966795,0.0453531380316451,3.34453846256667,126
"8",2,0.43016670531694,0.0307408747459986,3.92024201539924,113
"9",1,0.553490825018721,0.0478729219791205,3.06127576236985,118
"10",2,0.398353261697171,0.0486417120804623,3.94609325983729,108
"11",1,0.538118284067543,0.0450614998298441,2.84953199847744,115
"12",2,0.359333303265242,0.0462226437826494,4.97684103170256,106
"13",1,0.541297413023268,0.0407291293517237,2.64220199679826,123
"14",2,0.334971518793834,0.0439124418646558,4.38509646668748,102
"15",1,0.563335879376251,0.0545393275514939,2.62519097402634,124
"16",2,0.35601194995589,0.0378303915387088,4.2077690715485,112
"17",1,0.56147738045354,0.056004372504879,2.72418427735939,122
"18",2,0.378609630522404,0.0405130107948314,4.25456063513475,119
"19",1,0.532973340013386,0.0593653955000328,3.13380391689186,110
"20",2,0.370851718295058,0.039925668570219,4.88488707123,115
"21",1,0.516254749009987,0.0506012070146257,3.63941035954203,113
"22",2,0.373292066204439,0.0346706669071872,4.93900845394495,116
"23",1,0.511454700466635,0.0310299804262482,3.78324211763221,90
"24",2,0.367336157038447,0.0358265934503116,4.64185106778072,78
"25",1,0.530170127101137,0.0511705555582314,3.05355073802006,118
"26",2,0.341143331242763,0.0305866027032617,4.51123964368423,104
"27",1,0.524189548863511,0.0542257613704505,2.96430407266461,114
"28",2,0.350212192329141,0.0316758667986695,4.65787012315307,104
"29",1,0.536511387535896,0.0540850789132543,3.01665280056082,116
"30",2,0.368255877655154,0.0333169460939879,4.42033669891914,105
"31",1,0.572177385386999,0.0476672753623732,2.8748466174863,130
"32",2,0.414656850504607,0.0360367901787933,3.48200150846924,117
"33",1,0.618727982522891,0.0418720467026154,2.23055454968912,147
"34",2,0.432024457183037,0.0367705559178348,3.68342868944744,120
"35",1,0.616875970228588,0.0336780035285464,2.26959421484764,163
"36",2,0.416416880788687,0.0340915957442137,3.42908058885232,120
"37",1,0.593296901402199,0.0362303445156579,2.41802744338577,153
"38",2,0.397516712599793,0.0320468596234668,3.51308652357734,118
"39",1,0.565325999950838,0.0381824301566109,2.43238409142548,136
"40",2,0.404736538981735,0.0320288883778885,3.31802342820679,113
"41",1,0.53891522672396,0.0438293000047268,2.41955861813153,131
"42",2,0.430398945052229,0.0356400676147685,3.12096877330316,113
"43",1,0.537550870026709,0.0463963015278393,2.66089052187363,138
"44",2,0.409505207058057,0.0371256720328686,3.65087697540402,110
"45",1,0.475554455000395,0.0337464329537506,3.15194053330761,92
"46",2,0.39013362916801,0.0377081131743031,3.29673152079972,93
"47",1,0.549044863105521,0.047159711470585,1.9806119567675,139
"48",2,0.377956578737285,0.0364647135870123,2.98243181737357,103
"49",1,0.559681970414922,0.0487670062726767,2.44647762792754,142
"50",2,0.379947549060861,0.0391838272293052,3.78805730249455,106
"51",1,0.559320899710656,0.0531852285101019,2.57101751715653,144
"52",2,0.413363781638407,0.0393084710655081,3.11625754431744,111
"53",1,0.536416634288195,0.0513672988777729,2.43263704896579,137
"54",2,0.413636128335713,0.0397315271469729,2.94641913056885,109
"55",1,0.515166913450478,0.0506671498356367,2.81325650660183,131
"56",2,0.422492844963184,0.0412559413520583,3.42098131384037,108
"57",1,0.569322189640784,0.0443532948046014,2.58028467496567,137
"58",2,0.485703142192919,0.0361295769952391,3.22576682282494,125
"59",1,0.597218428042835,0.0442036299479377,2.2594446560951,144
"60",2,0.484618065086845,0.0350617345436413,2.97572563940401,127
"61",1,0.580537249296192,0.0412224522395092,2.35271975671087,145
"62",2,0.459154170192168,0.0383058692401511,2.84879192412114,120
"63",1,0.53643178080172,0.0403162502565674,2.47830006297356,140
"64",2,0.424261170638322,0.0425073955314075,3.15301685432768,108
"65",1,0.510321393722318,0.0404970382220652,2.94590027827242,133
"66",2,0.41945681292602,0.0404267821978428,4.23086008772911,113
"67",1,0.495738100970392,0.0344006346064479,3.65249935008638,114
"68",2,0.412459157067359,0.0380111987985751,4.42028828794093,112
"69",1,0.501294523007999,0.0423041343059834,3.33611243985953,130
"70",2,0.382869866537027,0.0360885310660071,3.56569419210458,105
"71",1,0.497629531578248,0.037744598960895,2.63134168889248,131
"72",2,0.368165794579575,0.0301384438227505,3.49146873858259,107
"73",1,0.499037607891633,0.035755056759671,2.62303471359939,138
"74",2,0.367207356286257,0.0312435142760259,3.8244568298109,103
"75",1,0.486400396779502,0.0330999478425415,2.75333418855898,135
"76",2,0.372770656214816,0.0314753967008678,3.71037847050608,98
"77",1,0.510798942809404,0.0369400436988544,2.60493045055323,138
"78",2,0.370198885331527,0.036128034916756,4.89101819300176,96
"79",1,0.506786808276431,0.0379514139248959,2.68414981602806,138
"80",2,0.366274685117461,0.0349144135019441,3.74329251892322,104
"81",1,0.551292010873925,0.0394361939049268,2.54816840706476,146
"82",2,0.383460797387195,0.0333864272958142,4.37690227565901,111
"83",1,0.553582153240972,0.0444011657135284,2.78292496815513,142
"84",2,0.425822753812581,0.0310374585694327,3.98000954032501,114
"85",1,0.555393498513139,0.0470980776364089,2.75815112580124,143
"86",2,0.424979386509868,0.0361465112403809,3.41120912370586,109
"87",1,0.532867897487665,0.0465993456029117,2.46529355637133,135
"88",2,0.43246109985242,0.0359891550110517,2.91529889214305,105
"89",1,0.488309347760959,0.0414476347704112,3.61160156434763,112
"90",2,0.401165119971265,0.0396514179664429,5.74493326748043,110
"91",1,0.513851019001579,0.0448040861621425,2.62072529446543,131
"92",2,0.390824310329081,0.0349385905638091,4.63429637048616,99
"93",1,0.542535748209221,0.0495544190199039,3.35137007993595,132
"94",2,0.388940436248301,0.0295653161518728,5.29757967048347,100
"95",1,0.536146014648515,0.0483501142139243,3.56050862835309,135
"96",2,0.399011267310435,0.0312654382520937,4.62281348800611,101
"97",1,0.522114449088592,0.0500295901030761,3.22986194837751,128
"98",2,0.406107218091162,0.0356576556463441,4.172267745666,98
"99",1,0.528898898742939,0.0493181737194148,2.9720975497463,129
"100",2,0.427353953124586,0.0345534309807126,3.58809192755779,101
"101",1,0.530518677128811,0.0491612506775878,3.37093641533277,127
"102",2,0.402965026022204,0.0359098445631086,3.54923383716432,99
"103",1,0.539057714888745,0.0485821903345126,2.7249075246181,124
"104",2,0.397585793004658,0.0371894167894163,3.71961043856111,93
"105",1,0.511387492300781,0.0471344418472717,2.92931699480242,120
"106",2,0.418411037097086,0.0354823807869203,3.65565847052347,93
"107",1,0.575945510416789,0.0482499855219314,2.79682296496737,136
"108",2,0.443926609404565,0.0362110705707209,3.76241005866523,101
"109",1,0.57855163572007,0.0447266451037242,3.13121362415347,146
"110",2,0.445096625756287,0.0348861036872,4.22124719215123,102
"111",1,0.535537056755331,0.0376550308336518,3.44269859110165,120
"112",2,0.396407595612991,0.0362689199966359,4.88123079749315,109
"113",1,0.623578266627057,0.0466935257489783,2.73441173953415,152
"114",2,0.452165357689105,0.0373955141668128,3.58033041531451,111
"115",1,0.574558443492896,0.0470503679867363,2.67854269223681,135
"116",2,0.44819453292923,0.0369630147899766,3.46692585558531,110
"117",1,0.571867369727524,0.0463302056658955,2.85248467348483,125
"118",2,0.447192230991236,0.0370930654056614,3.61917866094291,109
"119",1,0.522683170183516,0.0386481189798428,3.11434357073372,117
"120",2,0.460701868525171,0.0391170843107856,3.57047004442983,109
"121",1,0.550703941918813,0.0395462510197326,2.62180033417484,117
"122",2,0.445078128078718,0.0364717338480228,3.10081855155172,105
"123",1,0.547348274000475,0.04112676034551,2.90734684974923,112
"124",2,0.432357076161333,0.0361096705422011,3.23819872624659,102
"125",1,0.553289167883977,0.0434699343337491,2.58079703284983,114
"126",2,0.385532459496963,0.0329040140722763,3.72110870129616,92
"127",1,0.565296705545288,0.0391148369109972,2.47040287380415,115
"128",2,0.402569379935672,0.0377222448968942,3.41578380593515,97
"129",1,0.575868291995368,0.0371580401839222,2.33200080167554,116
"130",2,0.398123394837253,0.0343453882210853,3.27520813439083,99
"131",1,0.613126270998686,0.0390993845106532,2.1908401761723,120
"132",2,0.394856175290649,0.0361589611099568,3.62249371945651,99
"133",1,0.498874776047195,0.0456845206138603,2.99685051948763,114
"134",2,0.362223960061467,0.045794728799299,4.13810108601429,105
"135",1,0.627858266030028,0.0447673146097423,2.04849709271911,119
"136",2,0.393611251465607,0.0342865144556765,2.76273814993724,99
"137",1,0.680866212779019,0.0458419441733347,1.65558182335241,120
"138",2,0.473843640264521,0.0395145443483652,2.88966507730299,116
"139",1,0.675317384779394,0.043647703821357,2.13123950341522,131
"140",2,0.456675188334244,0.0398533334309279,3.14889853357951,115
"141",1,0.600238231697347,0.0513195061984221,2.14606123877791,118
"142",2,0.5002770261152,0.0406270162132484,2.60836878395952,129
"143",1,0.565741259632473,0.0460410304699057,2.15424521523235,116
"144",2,0.464663456847703,0.0398505406908167,3.11902442486575,115
"145",1,0.564073338855579,0.0472615224727742,2.56232661302995,111
"146",2,0.51041756870375,0.0352745891830167,2.87806182843334,120
"147",1,0.578122753504767,0.0455244186019186,2.71009067249041,110
"148",2,0.475907710174007,0.0337095868762621,2.83538584670024,108
"149",1,0.568035485217394,0.0493032670654518,2.53873294737102,105
"150",2,0.480966054452604,0.0296865195045254,2.83978763840251,104
"151",1,0.543563865054562,0.0473578093480602,2.40640479631349,107
"152",2,0.477377829241057,0.0327984513292049,2.78487779429448,103
"153",1,0.54876441911209,0.0476049046837454,2.43766282045736,107
"154",2,0.478919079395386,0.0345565660137613,3.1390604393395,102
"155",1,0.479177250164291,0.0394424423560906,3.70356290438725,109
"156",2,0.404280369728727,0.0478742245645634,4.47878063637467,110
"157",1,0.558186002572048,0.0450529814781201,3.26627391736414,104
"158",2,0.465944608673214,0.035258680231108,3.58921396043738,103
"159",1,0.541975946688759,0.0446484818755777,2.51892518069058,99
"160",2,0.473319518313435,0.0346515710295941,2.76648919261082,102
"161",1,0.524893438944029,0.0452477124322236,2.44895300077674,111
"162",2,0.489896529021164,0.0348401969874848,2.67197845125946,109
"163",1,0.545523264303514,0.0457157039026075,2.57435158791767,126
"164",2,0.541267262133722,0.0411106206282173,2.47423580820744,116
"165",1,0.570729764063883,0.0488169940123432,2.42342401666135,123
"166",2,0.542218022738574,0.0409506706793124,2.45398652282746,119
"167",1,0.571934264306228,0.0477824870792394,3.16583495024876,126
"168",2,0.513420090094701,0.0434137618621502,2.64947115324163,115
"169",1,0.540149607621449,0.0461514408366596,2.53832136379526,119
"170",2,0.485107706925199,0.0384026587394879,2.89582058813332,110
"171",1,0.534302583099782,0.0510351886424,3.14123586484064,111
"172",2,0.504376213160614,0.043909428625609,3.05442159241716,107
"173",1,0.532638171191546,0.0501283603896417,3.18185724254461,106
"174",2,0.510601656297166,0.0378338156225933,3.00010621644983,103
"175",1,0.542973485659429,0.0459513817115866,2.66991593316708,113
"176",2,0.47032069256654,0.0392267506777476,2.79314904667441,95
"177",1,0.439027295889845,0.0371495001450357,2.87169699264225,102
"178",2,0.353014501163923,0.0494447796146654,4.99576872463982,97
