"","categoria","trabaja","se trabaja","mes"
"432","no remunerado",2786.29875678,767.40576875957,72
"433","empleador",8947.26558527,1862.67703704789,73
"434","cuenta propia",39526.54578988,3909.96344043024,73
"435","asalariado sin contrato",36508.43713013,4470.02636583774,73
"436","asalariado con contrato definido",38692.84762424,5281.51225410515,73
"437","asalariado con contrato indefinido",75955.25987466,5161.40830970966,73
"438","no remunerado",2783.01351033,685.997620497969,73
"439","empleador",9543.57319948,2306.88345942727,74
"440","cuenta propia",38227.41903135,3988.94422990936,74
"441","asalariado sin contrato",32474.41669586,4193.80955164541,74
"442","asalariado con contrato definido",34448.71773618,4500.14436222866,74
"443","asalariado con contrato indefinido",83774.8261383,6403.6049361025,74
"444","no remunerado",2603.30645954,657.084759641421,74
"445","empleador",10650.83404595,2315.64429975352,75
"446","cuenta propia",45646.73230867,5338.38393422335,75
"447","asalariado sin contrato",31454.08284016,4026.10956867621,75
"448","asalariado con contrato definido",34747.81575193,4312.99625332677,75
"449","asalariado con contrato indefinido",82925.66362113,6501.72895757321,75
"450","no remunerado",2934.24674481,577.665751288586,75
"451","empleador",9599.72898232,2359.34794150716,76
"452","cuenta propia",44801.36771349,5270.52974985777,76
"453","asalariado sin contrato",30348.58079672,4037.12413247526,76
"454","asalariado con contrato definido",34924.74472414,3632.78517301005,76
"455","asalariado con contrato indefinido",84173.94620977,6795.46213520047,76
"456","no remunerado",2932.62268464,875.0941085607,76
"457","empleador",9509.02461976,2584.27117518702,77
"458","cuenta propia",45226.09093694,5248.21958810919,77
"459","asalariado sin contrato",31503.92203928,4080.36862237894,77
"460","asalariado con contrato definido",36480.31369813,4507.39433410704,77
"461","asalariado con contrato indefinido",80322.78344708,6168.68656182592,77
"462","no remunerado",3420.03292434,1158.05999444786,77
"463","empleador",9877.90668407,2715.87638684395,78
"464","cuenta propia",42946.91095931,4200.584722287,78
"465","asalariado sin contrato",31669.40085817,3650.87160024334,78
"466","asalariado con contrato definido",31927.50671217,4462.46407225238,78
"467","asalariado con contrato indefinido",83059.78286432,6262.51768569068,78
"468","no remunerado",2494.23454852,1161.01473980642,78
"469","empleador",10614.75388961,2851.14297837392,79
"470","cuenta propia",43627.00008957,3957.47045602168,79
"471","asalariado sin contrato",33064.47094378,3766.92549633865,79
"472","asalariado con contrato definido",32373.59111421,4489.08831367408,79
"473","asalariado con contrato indefinido",82375.53550874,6135.51721373902,79
"474","no remunerado",2338.26803867,1029.78624248121,79
"475","empleador",10093.19200503,2442.97881438994,80
"476","cuenta propia",45404.31948262,3892.10077185493,80
"477","asalariado sin contrato",30328.64906937,2913.84683152296,80
"478","asalariado con contrato definido",33281.95236549,5242.73731183229,80
"479","asalariado con contrato indefinido",82124.2639178,6387.69271021322,80
"480","no remunerado",1552.27225629,586.045387837524,80
"481","empleador",10169.07711942,2273.99812896463,81
"482","cuenta propia",43017.92418372,5106.64842784795,81
"483","asalariado sin contrato",33208.08742535,3187.61453760654,81
"484","asalariado con contrato definido",36875.64552034,5229.70014481795,81
"485","asalariado con contrato indefinido",79107.21609723,6609.15335163099,81
"486","no remunerado",2441.43619936,687.452631762681,81
"487","empleador",9549.46495248,2033.34394332647,82
"488","cuenta propia",42706.10848801,5792.78969559154,82
