"HPROMAN9","HPROMAN9"
"HP-ROMAN9","HP-ROMAN9"
"HPTHAI8","HPTHAI8"
"HP-THAI8","HP-THAI8"
"IBM1004","IBM1004"
"IBM1008","IBM1008"
"IBM-1008","IBM-1008"
"IBM1046","IBM1046"
"IBM-1046","IBM-1046"
"IBM1124","IBM1124"
"IBM-1124","IBM-1124"
"IBM1129","IBM1129"
"IBM-1129","IBM-1129"
"IBM1133","IBM1133"
"IBM-1133","IBM-1133"
"IBM1161","IBM1161"
"IBM-1161","IBM-1161"
"IBM1162","IBM1162"
"IBM-1162","IBM-1162"
"IBM1163","IBM1163"
"IBM-1163","IBM-1163"
"IBM1167","IBM1167"
"IBM-1167","IBM-1167"
"IBM437","IBM437"
"IBM4909","IBM4909"
"IBM-4909","IBM-4909"
"IBM5347","IBM5347"
"IBM-5347","IBM-5347"
"IBM775","IBM775"
"IBM813","IBM813"
"IBM819","IBM819"
"IBM848","IBM848"
"IBM850","IBM850"
"IBM851","IBM851"
"IBM852","IBM852"
"IBM855","IBM855"
"IBM857","IBM857"
"IBM860","IBM860"
"IBM861","IBM861"
"IBM862","IBM862"
"IBM863","IBM863"
"IBM864","IBM864"
"IBM865","IBM865"
"IBM866","IBM866"
"IBM866NAV","IBM866NAV"
"IBM868","IBM868"
"IBM869","IBM869"
"IBM874","IBM874"
"IBM901","IBM901"
"IBM-901","IBM-901"
"IBM902","IBM902"
"IBM-902","IBM-902"
"IBM9066","IBM9066"
"IBM-9066","IBM-9066"
"IBM912","IBM912"
"IBM915","IBM915"
"IBM920","IBM920"
"IBM921","IBM921"
"IBM-921","IBM-921"
"IBM922","IBM922"
"IBM-922","IBM-922"
"IBM932","IBM932"
"IBM-932","IBM-932"
"IBM943","IBM943"
"IBM-943","IBM-943"
"IBM9448","IBM9448"
"IBM-9448","IBM-9448"
"IEC_P271","IEC_P271"
"IEC_P27-1","IEC_P27-1"
"ISIRI3342","ISIRI3342"
"ISIRI-3342","ISIRI-3342"
"ISO88591","ISO88591"
"ISO_8859-1","ISO_8859-1"
"ISO-8859-1","ISO-8859-1"
"ISO8859-1","ISO8859-1"
"ISO885910","ISO885910"
"ISO_8859-10","ISO_8859-10"
"ISO-8859-10","ISO-8859-10"
"ISO8859-10","ISO8859-10"
"ISO_8859-10:1992","ISO_8859-10:1992"
"ISO885911","ISO885911"
"ISO-8859-11","ISO-8859-11"
"ISO8859-11","ISO8859-11"
"ISO_8859-1:1987","ISO_8859-1:1987"
"ISO885913","ISO885913"
"ISO-8859-13","ISO-8859-13"
"ISO8859-13","ISO8859-13"
"ISO885914","ISO885914"
"ISO_8859-14","ISO_8859-14"
"ISO-8859-14","ISO-8859-14"
"ISO8859-14","ISO8859-14"
"ISO_8859-14:1998","ISO_8859-14:1998"
"ISO885915","ISO885915"
"ISO_8859-15","ISO_8859-15"
"ISO-8859-15","ISO-8859-15"
"ISO8859-15","ISO8859-15"
"ISO_8859-15:1998","ISO_8859-15:1998"
"ISO885916","ISO885916"
"ISO_8859-16","ISO_8859-16"
"ISO-8859-16","ISO-8859-16"
"ISO8859-16","ISO8859-16"
"ISO_8859-16:2001","ISO_8859-16:2001"
"ISO88592","ISO88592"
"ISO_8859-2","ISO_8859-2"
