"","sector","tramos_edad","mes","sexo","trabaja","se trabaja","cv","Freq"
"81","Agropecuario-Silvicola",5,4,2,419.64020142,292.687209462886,69.75,2
"82","Agropecuario-Silvicola",6,1,1,2262.22422954,748.896108256826,33.1,9
"83","Agropecuario-Silvicola",6,1,2,640.00294104,366.328002810943,57.24,3
"84","Agropecuario-Silvicola",6,2,1,3111.72391117,1185.63845002,38.1,11
"85","Agropecuario-Silvicola",6,2,2,298.98004154,298.98004154,100,1
"86","Agropecuario-Silvicola",6,3,1,1639.90952904,756.857295225599,46.15,7
"87","Agropecuario-Silvicola",6,3,2,324.95111054,324.95111054,100,1
"88","Agropecuario-Silvicola",6,4,1,4335.3303968,1386.51537374493,31.98,12
"89","Comercio",1,1,1,4120.6034057,1409.98899029968,34.22,13
"90","Comercio",1,1,2,3692.56221,937.244569087385,25.38,17
"91","Comercio",1,2,1,3073.4196043,1090.3543114167,35.48,10
"92","Comercio",1,2,2,4154.30540635,1464.21890233215,35.25,19
"93","Comercio",1,3,1,4283.80538276,1149.03848591,26.82,20
"94","Comercio",1,3,2,3952.81623537,1393.86521386764,35.26,14
"95","Comercio",1,4,1,4014.61555556,1259.55777177986,31.37,17
"96","Comercio",1,4,2,4868.2846925,1258.84396528602,25.86,18
"97","Comercio",2,1,1,3939.71716904,1335.00995084687,33.89,15
"98","Comercio",2,1,2,3437.99003822,1016.47062359994,29.57,19
"99","Comercio",2,2,1,2433.74370321,752.527285998585,30.92,13
"100","Comercio",2,2,2,3439.10132283,920.409208130887,26.76,19
"101","Comercio",2,3,1,3685.35436154,1112.75813853299,30.19,19
"102","Comercio",2,3,2,2821.94358887,847.120629034633,30.02,16
"103","Comercio",2,4,1,2451.27087359,761.419619118328,31.06,17
"104","Comercio",2,4,2,3033.52627934,869.968867547451,28.68,15
"105","Comercio",3,1,1,2198.42079827,804.951662859041,36.61,13
"106","Comercio",3,1,2,2689.0549374,705.090477623698,26.22,18
"107","Comercio",3,2,1,2940.43954305,1048.71394879883,35.67,14
"108","Comercio",3,2,2,2506.62208577,915.871593224075,36.54,12
"109","Comercio",3,3,1,2313.37044577,914.62668362734,39.54,14
"110","Comercio",3,3,2,2742.34216685,772.48251446751,28.17,17
"111","Comercio",3,4,1,1881.63656877,629.984430479535,33.48,13
"112","Comercio",3,4,2,2742.97887674,804.225184187876,29.32,15
"113","Comercio",4,1,1,2777.9249426,786.026809966092,28.3,15
"114","Comercio",4,1,2,3847.89013221,916.706800848475,23.82,22
"115","Comercio",4,2,1,4725.49430918,1126.68605579012,23.84,22
"116","Comercio",4,2,2,3869.39831196,915.08662491237,23.65,24
"117","Comercio",4,3,1,5191.32945031,1290.41497277063,24.86,23
"118","Comercio",4,3,2,4793.03154168,1211.02541021484,25.27,26
"119","Comercio",4,4,1,5367.70506996,1405.58786992675,26.19,21
"120","Comercio",4,4,2,3563.58600091,997.691399389379,28,23
"121","Comercio",5,1,1,3053.46999097,1093.10252508651,35.8,15
"122","Comercio",5,1,2,2299.12436569,703.469675129559,30.6,12
"123","Comercio",5,2,1,2957.42591175,1066.77248188492,36.07,14
"124","Comercio",5,2,2,2436.87422956,704.444330748556,28.91,13
"125","Comercio",5,3,1,2081.79367518,1013.74410113354,48.7,7
"126","Comercio",5,3,2,2430.90296404,793.291275739883,32.63,12
"127","Comercio",5,4,1,2557.65801343,1082.60453187149,42.33,11
"128","Comercio",5,4,2,2665.09978099,832.942767623304,31.25,14
"129","Comercio",6,1,1,1787.76055096,647.811571737204,36.24,9
"130","Comercio",6,1,2,677.32826315,496.138087735487,73.25,2
"131","Comercio",6,2,1,1838.82644404,633.079002066515,34.43,11
"132","Comercio",6,2,2,1021.33824773,550.233183503974,53.87,4
"133","Comercio",6,3,1,2087.68329777,696.889861234314,33.38,11
"134","Comercio",6,3,2,1740.27519666,703.338148333987,40.42,8
"135","Comercio",6,4,1,2462.24294691,744.322083709434,30.23,13
"136","Comercio",6,4,2,955.80373991,533.696550464765,55.84,5
"137","Construccion",1,1,1,1856.62757214,796.663310084719,42.91,8
"138","Construccion",1,1,2,1099.11977256,654.563823884437,59.55,3
"139","Construccion",1,2,1,1832.80806672,773.597905481213,42.21,8
"140","Construccion",1,3,1,963.72462472,525.770444317196,54.56,4
"141","Construccion",1,3,2,62.34455758,62.34455758,100,1
"142","Construccion",1,4,1,1746.83659337,704.996886475609,40.36,9
"143","Construccion",2,1,1,3075.56244279,1230.90312052215,40.02,11
"144","Construccion",2,1,2,59.15182954,59.1518295400001,100,1
"145","Construccion",2,2,1,2467.17332596,865.159752038107,35.07,8
"146","Construccion",2,2,2,141.13598267,141.13598267,100,1
"147","Construccion",2,3,1,4834.91622853,1405.36366471902,29.07,20
"148","Construccion",2,4,1,3463.73714597,978.995654738682,28.26,16
"149","Construccion",2,4,2,126.79181328,126.79181328,100,1
"150","Construccion",3,1,1,2756.8051932,820.193233491302,29.75,16
"151","Construccion",3,1,2,382.69732982,382.69732982,100,1
"152","Construccion",3,2,1,1070.17591897,505.349809674788,47.22,7
"153","Construccion",3,2,2,357.57012383,357.57012383,100,1
"154","Construccion",3,3,1,1556.37456189,611.74064245271,39.31,10
"155","Construccion",3,3,2,478.55149046,373.304995620842,78.01,2
"156","Construccion",3,4,1,3227.5646824,832.304673785158,25.79,16
"157","Construccion",3,4,2,370.7383153,370.7383153,100,1
"158","Construccion",4,1,1,3081.32174572,941.767978365332,30.56,14
"159","Construccion",4,1,2,133.68941467,133.68941467,100,1
"160","Construccion",4,2,1,1661.95306317,738.52144486224,44.44,9
"161","Construccion",4,2,2,84.03367482,84.03367482,100,1
"162","Construccion",4,3,1,3353.1192861,1006.73839057278,30.02,15
"163","Construccion",4,4,1,2883.26817626,864.238751045581,29.97,16
"164","Construccion",4,4,2,430.2063396,352.467243349526,81.93,2
"165","Construccion",5,1,1,1941.86355149,655.850444513167,33.77,13
"166","Construccion",5,2,1,2724.92876677,811.18351501511,29.77,15
"167","Construccion",5,3,1,2045.32583829,780.985811924302,38.18,9
"168","Construccion",5,4,1,1728.32949865,627.915373710269,36.33,12
"169","Construccion",6,1,1,977.99947735,662.457464139849,67.74,3
"170","Construccion",6,2,1,879.32468098,652.641719182738,74.22,2
"171","Construccion",6,3,1,366.6908007,291.274641567145,79.43,2
"172","Construccion",6,4,1,1068.18802162,716.225461713775,67.05,3
"173","Electricidad, Gas y Agua",1,1,1,31.53216734,31.53216734,100,1
"174","Electricidad, Gas y Agua",1,1,2,69.53287036,69.5328703600001,100,1
"175","Electricidad, Gas y Agua",1,2,1,448.99817086,416.112820685447,92.68,2
"176","Electricidad, Gas y Agua",1,3,1,367.01126736,333.292629168895,90.81,2
"177","Electricidad, Gas y Agua",2,1,1,810.85524208,579.010430152104,71.41,2
"178","Electricidad, Gas y Agua",2,2,1,751.79388766,535.884217474179,71.28,2
"179","Electricidad, Gas y Agua",2,3,1,747.88785636,532.71675916102,71.23,2
"180","Electricidad, Gas y Agua",2,4,1,800.38386235,569.920203495931,71.21,2
"181","Electricidad, Gas y Agua",2,4,2,370.7383153,370.7383153,100,1
"182","Electricidad, Gas y Agua",3,2,1,95.00440172,95.0044017199999,100,1
"183","Electricidad, Gas y Agua",3,3,1,127.93994403,127.93994403,100,1
"184","Electricidad, Gas y Agua",3,4,1,363.38261319,363.38261319,100,1
"185","Electricidad, Gas y Agua",4,1,1,351.36601906,351.36601906,100,1
"186","Electricidad, Gas y Agua",4,1,2,272.35866451,272.35866451,100,1
"187","Electricidad, Gas y Agua",4,2,1,414.69661541,414.69661541,100,1
"188","Electricidad, Gas y Agua",4,2,2,272.65295707,272.65295707,100,1
"189","Electricidad, Gas y Agua",4,3,1,331.38284875,331.38284875,100,1
"190","Electricidad, Gas y Agua",4,3,2,267.44880303,267.44880303,100,1
"191","Electricidad, Gas y Agua",4,4,1,355.776285,355.776285,100,1
"192","Electricidad, Gas y Agua",4,4,2,263.84765341,263.84765341,100,1
