"","sexo","tramo_jov","joven","SE_joven","cv","freq"
"1","1","15-19",1514,473.085804396706,0.312474111226358,16
"2","2","15-19",2495,638.660602199529,0.255976193266344,29
"3","1","20-24",1100,321.282890618526,0.292075355107751,17
"4","2","20-24",3200,586.005135342702,0.183126604794594,45
"5","1","25-29",824,235.008217259498,0.285204147159584,16
"6","2","25-29",3227,632.859662844361,0.196113933326421,61
