cat_ocup,estimate,estimate_cv,frecuencia,quality
1,967825,0.03755812371143257,3051,1
2,336290,0.026922192868837035,21524,1
3,S.I,0,1,0
4,279676,0.01713756383916162,12917,1
5,538305,0.015161293956154549,52206,1
6,399580,0.012951658155282186,16946,1
