cat_ocup,estimate,estimate_cv,frecuencia,quality
1,S.I,0.36143949465560316,66,0
2,244819,0.11148627695485999,458,1
4,202323,0.08084999231012985,481,1
5,427953,0.07248073419232776,1048,1
6,363016,0.10521956435578012,456,1
