cat_ocup,estimate,estimate_cv,frecuencia,quality
1,S.I,0.36143949465560316,66,0
2,244819,0.11148627695485999,458,1
5,220913,0.08590408696191847,410,1
6,363203,0.10531477922154094,454,1
7,426386,0.07377393353050973,1006,1
