"","sector","b1","mes","trabaja","se trabaja","Freq","cv"
"91","Comercio",9,2,8242.51631767,1886.08722269331,33,22.88
"92","Comercio",9,3,11651.07597035,2488.21860623382,47,21.36
"93","Comercio",9,4,10996.53152214,2062.21640160164,48,18.75
"94","Construccion",1,1,718.17687834,508.375181846699,2,70.79
"95","Construccion",1,2,421.12807129,421.12807129,1,100
"96","Construccion",1,3,528.73812543,375.274572679634,3,70.98
"97","Construccion",2,1,955.71843836,565.945567659888,4,59.22
"98","Construccion",2,2,412.84922575,357.891521125462,2,86.69
"99","Construccion",2,3,1069.16203281,629.272875849929,3,58.86
"100","Construccion",2,4,1119.67446304,564.374080969436,5,50.41
"101","Construccion",3,1,756.78936688,492.390879029365,4,65.06
"102","Construccion",3,2,66.23748639,66.23748639,1,100
"103","Construccion",3,3,631.43200713,389.854385430304,4,61.74
"104","Construccion",3,4,862.67140985,472.838594981799,6,54.81
"105","Construccion",4,1,1070.13889539,805.55396586694,4,75.28
"106","Construccion",4,2,441.60379865,367.31192733092,2,83.18
"107","Construccion",4,3,73.54071021,73.54071021,1,100
"108","Construccion",7,1,7000.64166284,1374.5572936921,39,19.63
"109","Construccion",7,2,7416.60529907,1603.04650150397,34,21.61
"110","Construccion",7,3,8619.62580941,1688.36072138902,40,19.59
"111","Construccion",7,4,7846.50835082,1530.72149955027,44,19.51
"112","Construccion",8,1,167.27825159,167.27825159,1,100
"113","Construccion",8,2,175.936537,175.936537,1,100
"114","Construccion",8,3,939.34634249,589.776262560772,4,62.79
"115","Construccion",8,4,484.50628953,342.72947873732,2,70.74
"116","Construccion",9,1,4696.09483588,1765.16629020839,17,37.59
"117","Construccion",9,2,2284.74318574,846.062889622543,11,37.03
"118","Construccion",9,3,1799.20236079,982.26104796145,8,54.59
"119","Construccion",9,4,4732.30007321,1446.20657600324,19,30.56
"120","Electricidad, Gas y Agua",1,2,95.00440172,95.0044017199999,1,100
"121","Electricidad, Gas y Agua",1,3,127.93994403,127.93994403,1,100
"122","Electricidad, Gas y Agua",4,1,341.89153487,281.094400858806,2,82.22
"123","Electricidad, Gas y Agua",4,2,272.65295707,272.65295707,1,100
"124","Electricidad, Gas y Agua",4,3,267.44880303,267.44880303,1,100
"125","Electricidad, Gas y Agua",4,4,634.58596871,433.011311327117,2,68.24
"126","Electricidad, Gas y Agua",7,1,494.01224854,463.553775827483,2,93.83
"127","Electricidad, Gas y Agua",7,2,458.02563476,425.110211702091,2,92.81
"128","Electricidad, Gas y Agua",7,3,454.95418592,420.836646862853,2,92.5
"129","Electricidad, Gas y Agua",7,4,811.01858929,576.562998004375,2,71.09
"130","Electricidad, Gas y Agua",8,1,1109.0723521,624.595458854312,3,56.32
"131","Electricidad, Gas y Agua",8,2,348.2412779,348.2412779,1,100
"132","Electricidad, Gas y Agua",8,3,725.35022892,449.721198271506,3,62
"133","Electricidad, Gas y Agua",8,4,416.66805733,360.949543434937,2,86.63
"134","Electricidad, Gas y Agua",9,1,383.9708688,285.334879454873,2,74.31
"135","Electricidad, Gas y Agua",9,2,1253.50739443,897.077169845579,4,71.57
"136","Electricidad, Gas y Agua",9,3,726.65467904,455.075883131461,3,62.63
"137","Electricidad, Gas y Agua",9,4,1081.34354943,564.836719481219,4,52.23
"138","Hoteles y Restoranes",1,1,157.66083669,157.66083669,1,100
"139","Hoteles y Restoranes",1,2,49.29044813,49.2904481300001,1,100
"140","Hoteles y Restoranes",1,4,552.68226301,552.682263010001,1,100
"141","Hoteles y Restoranes",2,1,51.07931246,51.0793124600001,1,100
"142","Hoteles y Restoranes",3,1,360.72318116,303.156847639207,2,84.04
"143","Hoteles y Restoranes",3,2,1338.64377783,891.449962851753,3,66.59
"144","Hoteles y Restoranes",3,3,157.04511517,131.108226739971,2,83.48
"145","Hoteles y Restoranes",3,4,1067.18119445,648.810069022528,4,60.8
"146","Hoteles y Restoranes",4,1,741.92702319,631.004375837864,4,85.05
"147","Hoteles y Restoranes",4,2,1527.03236525,764.150831278763,6,50.04
"148","Hoteles y Restoranes",4,3,492.0870081,354.754199805034,2,72.09
"149","Hoteles y Restoranes",4,4,186.05866783,160.315523291277,2,86.16
"150","Hoteles y Restoranes",5,1,5904.09762389,1562.72838056872,25,26.47
"151","Hoteles y Restoranes",5,2,6007.43096463,1307.04942258564,27,21.76
"152","Hoteles y Restoranes",5,3,4374.41538578,1365.77506723897,19,31.22
"153","Hoteles y Restoranes",5,4,5116.32126026,1180.16661090688,21,23.07
"154","Hoteles y Restoranes",7,3,68.22380162,68.22380162,1,100
"155","Hoteles y Restoranes",7,4,66.99511654,66.99511654,1,100
"156","Hoteles y Restoranes",8,2,352.82150371,352.82150371,1,100
"157","Hoteles y Restoranes",8,3,404.00182189,342.189799130402,2,84.7
"158","Hoteles y Restoranes",8,4,459.89312261,459.89312261,1,100
"159","Hoteles y Restoranes",9,1,1455.33123447,639.478753159307,9,43.94
"160","Hoteles y Restoranes",9,2,307.84552201,179.427139222159,5,58.28
"161","Hoteles y Restoranes",9,3,1932.11895475,802.864446697124,7,41.55
"162","Hoteles y Restoranes",9,4,845.96554942,607.576660248026,2,71.82
"163","Industria Manufacturera",1,1,267.55982312,206.034225891184,2,77
"164","Industria Manufacturera",1,2,79.83199108,79.83199108,1,100
"165","Industria Manufacturera",1,3,81.86856195,81.86856195,1,100
"166","Industria Manufacturera",1,4,182.84781866,182.84781866,2,100
"167","Industria Manufacturera",2,1,162.75752222,119.302466418896,2,73.3
