"","sexo","I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)","se.I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)"
"1","1",0.713033495771235,0.019255621464822
"2","2",0.477805137638758,0.0244204989190284
"11","1",0.694940664408297,0.0214016735467977
"21","2",0.459122496292169,0.0174943708643711
"12","1",0.696192428663215,0.0199768082939751
"22","2",0.413619555837202,0.019605813402658
"13","1",0.704689075415935,0.0201258124544235
"23","2",0.452745828002016,0.0223802723523615
