"","sexo","I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)","se.I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)"
"1","1",0.655036735494693,0.0130269870033521
"2","2",0.423762185192003,0.0117421788558438
"11","1",0.663874849706908,0.0130918642047648
"21","2",0.446213451413897,0.0113968579892276
"12","1",0.663150087681581,0.0118055419733554
"22","2",0.45045283814728,0.0123801745736743
"13","1",0.653998318113546,0.0118243653563338
"23","2",0.430184731010786,0.0138749118302732
