"","sexo","I(subempleo == 1)/I(cae_general == ""Ocupado"")","se.I(subempleo == 1)/I(cae_general == ""Ocupado"")"
"1","1",0.0708460109234632,0.0130772158460472
"2","2",0.121136369300935,0.0208337621368117
"3","1",0.0946417256151866,0.0152647449492025
"4","2",0.155732394935713,0.0220000872409777
"5","1",0.0924626270366044,0.0167281319602075
"6","2",0.191659183024153,0.0283799604597055
"7","1",0.0515295042176286,0.012468776423807
"8","2",0.145082929412844,0.0275791768965444
