"","sector","b1","categoria_ocupacion","mes","trabaja","se trabaja","cv","Freq"
"516","Transporte y Comunicaciones",4,4,1,317.75688952,317.75688952,100,1
"517","Transporte y Comunicaciones",4,4,2,316.28994163,316.28994163,100,1
"518","Transporte y Comunicaciones",5,1,2,296.00646065,296.00646065,100,1
"519","Transporte y Comunicaciones",5,3,1,569.26144994,538.653004208338,94.62,2
"520","Transporte y Comunicaciones",5,3,2,321.92294262,226.932180184101,70.49,3
"521","Transporte y Comunicaciones",5,3,3,323.89133383,290.456352149135,89.68,2
"522","Transporte y Comunicaciones",5,3,4,863.16299254,616.958267411741,71.48,2
"523","Transporte y Comunicaciones",7,3,1,69.73460084,69.7346008400001,100,1
"524","Transporte y Comunicaciones",7,3,2,533.05309744,331.582762371672,62.2,3
"525","Transporte y Comunicaciones",7,3,3,341.7024038,278.062816585116,81.38,2
"526","Transporte y Comunicaciones",7,3,4,359.55280495,286.319318220003,79.63,2
"527","Transporte y Comunicaciones",8,1,2,357.57012383,357.57012383,100,1
"528","Transporte y Comunicaciones",8,1,3,645.65443964,458.250640016206,70.97,2
"529","Transporte y Comunicaciones",8,1,4,572.26041083,405.992552452863,70.95,2
"530","Transporte y Comunicaciones",8,2,1,4523.45140129,1569.11494584465,34.69,13
"531","Transporte y Comunicaciones",8,2,2,2793.25736237,1170.7693911108,41.91,11
"532","Transporte y Comunicaciones",8,2,3,2205.20507614,949.390675065736,43.05,9
"533","Transporte y Comunicaciones",8,2,4,2305.689245,1022.72089127513,44.36,8
"534","Transporte y Comunicaciones",8,3,1,2727.27762972,879.164987209873,32.24,13
"535","Transporte y Comunicaciones",8,3,2,2680.80301858,851.578438449813,31.77,13
"536","Transporte y Comunicaciones",8,3,3,3118.95094988,854.459648998288,27.4,13
"537","Transporte y Comunicaciones",8,3,4,1145.01108047,536.338806575793,46.84,7
"538","Transporte y Comunicaciones",8,4,4,266.73801111,266.73801111,100,1
"539","Transporte y Comunicaciones",8,7,2,49.89499442,49.89499442,100,1
"540","Transporte y Comunicaciones",9,2,1,346.88730863,346.88730863,100,1
"541","Transporte y Comunicaciones",9,2,2,419.54401362,361.922764244495,86.27,2
"542","Transporte y Comunicaciones",9,2,4,444.06416377,387.980527216686,87.37,2
"543","Transporte y Comunicaciones",9,3,1,454.53990864,299.166142373789,65.82,3
"544","Transporte y Comunicaciones",9,3,3,1579.28630016,687.099053624608,43.51,5
"545","Transporte y Comunicaciones",9,3,4,639.42340646,421.118504006352,65.86,3
"546","Transporte y Comunicaciones",9,4,2,63.1781843,63.1781842999999,100,1
