"","sexo","tramo_jov","joven","SE_joven","cv"
"1","1","15-19",51609,2482.43193551542,0.0481007563703118
"2","2","15-19",72073,3444.89452812977,0.0477972961876121
"3","1","20-24",60694,2632.19872495492,0.0433683514837532
"4","2","20-24",159503,5920.33918920146,0.0371174159056661
"5","1","25-29",37030,2275.91648501428,0.0614614227657111
"6","2","25-29",163619,4853.41306794737,0.0296628940889956
