"","cat_ocup","yoprCor","se","rama1","cat_ocup","yoprCor","se","cv"
"59","Patrón o empleador",754439.364587369,272684.182684753,"5","Patrón o empleador",NA,NA,NA
"60","Trabajador por cuenta propia",244818.92377721,27293.9503400168,"6","Patrón o empleador",423381.294964029,103164.91927794,0.243669053179841
"61","Dependiente contrato",409857.226440639,31867.8065992717,"7","Patrón o empleador",1163967.23229959,718733.823176726,0.617486303078103
"62","Dependiente sin Contrato",201367.649362781,16109.708116108,"8","Patrón o empleador",658891.56626506,118881.645985817,0.180426722806151
"63","No remunerado",NA,NA,"9","Patrón o empleador",1080000,135764.501987817,0.125707872210942
"64","Patrón o empleador",754439.364587369,272684.182684753,"10","Patrón o empleador",NA,NA,NA
"65","Trabajador por cuenta propia",244818.92377721,27293.9503400168,"11","Patrón o empleador",1e+06,0,0
"66","Dependiente contrato",409857.226440639,31867.8065992717,"12","Patrón o empleador",NA,NA,NA
"67","Dependiente sin Contrato",201367.649362781,16109.708116108,"13","Patrón o empleador",1500000,0,0
"68","No remunerado",NA,NA,"14","Patrón o empleador",NA,NA,NA
"69","Patrón o empleador",754439.364587369,272684.182684753,"15","Patrón o empleador",NA,NA,NA
"70","Trabajador por cuenta propia",244818.92377721,27293.9503400168,"16","Patrón o empleador",NA,NA,NA
"71","Dependiente contrato",409857.226440639,31867.8065992717,"17","Patrón o empleador",NA,NA,NA
"72","Dependiente sin Contrato",201367.649362781,16109.708116108,"99","Patrón o empleador",NA,NA,NA
"73","No remunerado",NA,NA,"1","Trabajador por cuenta propia",225588.012770138,64940.2101826459,0.287870837573345
"74","Patrón o empleador",754439.364587369,272684.182684753,"2","Trabajador por cuenta propia",171428.571428571,26470.1642004328,0.154409291169191
"75","Trabajador por cuenta propia",244818.92377721,27293.9503400168,"3","Trabajador por cuenta propia",NA,NA,NA
"76","Dependiente contrato",409857.226440639,31867.8065992717,"4","Trabajador por cuenta propia",196363.082082082,33681.6949201918,0.171527634232755
"77","Dependiente sin Contrato",201367.649362781,16109.708116108,"5","Trabajador por cuenta propia",NA,NA,NA
"78","No remunerado",NA,NA,"6","Trabajador por cuenta propia",232179.207765264,30606.6054272991,0.131823196925725
"79","Patrón o empleador",754439.364587369,272684.182684753,"7","Trabajador por cuenta propia",219700.029137654,18798.1375757635,0.085562745028065
"80","Trabajador por cuenta propia",244818.92377721,27293.9503400168,"8","Trabajador por cuenta propia",237797.619047619,45721.2186243135,0.192269455040918
"81","Dependiente contrato",409857.226440639,31867.8065992717,"9","Trabajador por cuenta propia",379052.831601968,97360.4938715164,0.256852042128396
"82","Dependiente sin Contrato",201367.649362781,16109.708116108,"10","Trabajador por cuenta propia",NA,NA,NA
"83","No remunerado",NA,NA,"11","Trabajador por cuenta propia",705770.246478873,267428.792963464,0.378917635445361
"84","Patrón o empleador",754439.364587369,272684.182684753,"12","Trabajador por cuenta propia",497500,192509.821178038,0.386954414428216
"85","Trabajador por cuenta propia",244818.92377721,27293.9503400168,"13","Trabajador por cuenta propia",196745.454545455,39547.0619836932,0.201006229470763
"86","Dependiente contrato",409857.226440639,31867.8065992717,"14","Trabajador por cuenta propia",483947.368421053,128702.750939724,0.265943694165823
"87","Dependiente sin Contrato",201367.649362781,16109.708116108,"15","Trabajador por cuenta propia",202389.119532265,48374.481789436,0.239017205575244
"88","No remunerado",NA,NA,"16","Trabajador por cuenta propia",85008.1120764553,11946.0016171407,0.140527784058969
"89","Patrón o empleador",754439.364587369,272684.182684753,"17","Trabajador por cuenta propia",NA,NA,NA
"90","Trabajador por cuenta propia",244818.92377721,27293.9503400168,"99","Trabajador por cuenta propia",NA,NA,NA
